    id	category_id	code	barcode       	mpn 	name                                    	  price	image          	feature	vendor	available	descr                                   	
677670	     600240	None	None          	None	Захисна плівка для ноутбуків 15,6`      	  150.0	['677670.jpg'] 	None   	None  	1        	None                                    	
684258	     661100	None	None          	None	ASUS 19V 3.42A 65W (4.5*3.0+pin)        	  500.0	['684258.jpg'] 	None   	None  	2        	None                                    	
683832	     661100	None	None          	None	ASUS 19V 4.74A 90W (4.5*3.0+Pin)        	  500.0	['683832.jpg'] 	None   	None  	1        	Блок живлення для ASUS 19V 4.74A 90W ...	
615843	     661100	None	None          	None	Acer  19V 4.74A 90W (5.5*1.7) OEM       	  500.0	['615843.jpg'] 	None   	None  	5        	None                                    	
684600	     661100	None	None          	None	Asus  19V 2.37A 45W (3.0*1.1)           	  500.0	['684600.jpg'] 	None   	None  	1        	None                                    	
615804	     661100	None	None          	None	Asus  19V 4.74A 90W (5.5*2.5)           	  450.0	['615804.jpg'] 	None   	None  	6        	Блок живлення для ноутбука Asus (19V ...	
684123	     661100	None	2000000194011 	None	DELL 19.5V 4.62A (90 Вт) 4.5*3.0 MERLION	  500.0	['684123.jpg'] 	None   	None  	1        	Блок живлення MERLION для ноутбука DE...	
679594	     661100	None	None          	None	Dell  19.5V 3.34A 65W (4.5*3.0+pin)     	  500.0	['679594.jpg'] 	None   	None  	5        	Блок живлення для ноутбука DELL 19.5V...	
615807	     661100	None	2000996038092 	None	Dell  19.5V 4.62A 90W (7.4*5.0+pin)     	  550.0	['615807.jpg'] 	None   	None  	4        	None                                    	
683316	     661100	None	None          	None	HP  18.5V 2,31A 45W (7.4*5.0+Pin)       	  500.0	['680238.jpg'] 	None   	None  	5        	Жлок живлення HP 18.5V 3.5A 65W (7.4*...	
681793	     661100	None	2568179300010 	None	HP  18.5V, 3.5A, 65W, (4.8*1.7)         	  500.0	['680238.jpg'] 	None   	None  	2        	Жлок живлення HP 18.5V 3.5A 65W (7.4*...	
675291	     661100	None	None          	None	HP  19.5V 4.62A 90W 4.5*3.0 + Pin Blue  	  550.0	['675291.jpg'] 	None   	None  	5        	Блок живлення для HP 19.5V 4.62A 90W ...	
673347	     661100	None	None          	None	HP  19.5V-3,33A 4.8-1.7mm видовжений    	  600.0	['673347.jpg'] 	None   	None  	1        	None                                    	
615815	     661100	None	3000000069011 	None	HP  19V 4.74A 90W (7.4*5.0 + PIN)       	  500.0	['615815.jpg'] 	None   	None  	2        	Блок живлення для HP 19V 4.74A 90W (7...	
679293	     661100	None	3000000964019 	None	Lenovo  20V 3.25A 65W (4.0*1.7)         	  550.0	['679293.jpg'] 	None   	None  	3        	Зарядний пристрій для ноутбука Lenovo...	
675112	     661100	None	None          	None	Lenovo  20V 4.5A 90W (5.5*2.5) OEM      	  500.0	['675112.jpg'] 	None   	None  	3        	Блок живлення для ноутбука Lenovo 20V...	
682273	     661100	None	None          	None	Lenovo  20V 4.5A 90W (7.9*5.5)          	  500.0	['671734.jpg'] 	None   	None  	1        	None                                    	
671734	     661100	None	None          	None	Lenovo  20V 4.5A 90W (7.9*5.5+Pin)      	  500.0	['671734.jpg'] 	None   	None  	1        	None                                    	
661118	     661100	None	3000000693018 	None	Lenovo  20V 4.5A 90W (USB+pin) прямок...	  500.0	['661118.jpg'] 	None   	None  	1        	None                                    	
683833	     661100	None	None          	None	Lenovo 19V 4.74A 90W (5.5*2.5)          	  500.0	['683833.jpg'] 	None   	None  	1        	Блок живлення для ноутбука Lenovo 19V...	
684676	     661100	None	None          	None	Lenovo 20V 2.25A 45W (3.0*1.1) (ADLX4...	  500.0	['684676.jpg'] 	None   	None  	1        	None                                    	
615844	     661100	None	None          	None	Samsung  19V 4.74A 90W (5.5*3.0+Pin) OEM	  500.0	['615844.jpg'] 	None   	None  	1        	Блок живлення для Samsung 19V 4.74A 9...	
682344	     661100	None	None          	None	Sony  19.5V 3.9A 76W (6.5*4.4+Pin)      	  500.0	['661107.jpg'] 	None   	None  	1        	Блок живлення для ноутбука SONY 19.5V...	
683567	     661100	None	None          	None	Toshiba 19V 4.74A 90W (5.5*2.5)         	  500.0	['683567.jpg'] 	None   	None  	1        	Блок живлення для ноутбука Toshiba 19...	
608309	     608300	None	4260120533260 	None	Titan  TTC-G5T 10-17" 2*0.6W            	 1100.0	['608309.jpg'] 	None   	None  	1        	None                                    	
682218	     608300	None	6940526120049 	None	Охолодження для ноутбука в бічний рад...	  450.0	['682218.jpg'] 	None   	None  	2        	Охолодження для ноутбука в бічний рад...	
680505	     608300	None	2291018052343 	None	Підставка під ноутбук DCX-019           	  350.0	['680505.jpg'] 	None   	None  	2        	Підставка під ноутбук DCX-019, 9-17 "...	
683205	     663600	None	None          	None	Сумка для ноутбука Z01 шкірзамінник     	  200.0	['683205.jpg'] 	None   	None  	1        	Сумка для ноутбука. Розмір 37*28*6. М...	
637235	     663700	None	4607071876624 	None	Continent  15.4`` СС-03 Biege           	  600.0	['637235.jpg'] 	None   	None  	1        	Тип				Сумка
Діагональ дисплея ноутбу...	
684255	     663700	None	4260360565311 	None	Continent  CC-089 Black                 	  680.0	['684255.jpg'] 	None   	None  	2        	Сумка для ноутбука 15" Continent CC-0...	
684982	     663700	None	4607071886029 	None	Continent CC-032 Red  15,6              	  680.0	['684982.jpg'] 	None   	None  	1        	Сумка для ноутбука 15.6" Continent CC...	
672177	     663700	None	4714033260275 	None	Defender  Xtreme 15"-17"                	  700.0	['672177.jpg'] 	None   	None  	1        	None                                    	
682067	     663700	None	None          	None	Grand-X (15.6) SB-115 Black             	  300.0	['682067.jpg'] 	None   	None  	1        	Сумка для  ноутбука Grand-X SB-115 15...	
682275	     663700	None	None          	None	Grand-X (15.6) SB-139XG зелена          	  550.0	['682275.jpg'] 	None   	None  	1        	Сумка для ноутбука 15.6" Grand-X SB-1...	
684256	     663700	None	None          	None	Grand-X (15.6) SB-139XO Orange          	  550.0	['684256.jpg'] 	None   	None  	1        	Сумка для ноутбука 15.6" Grand-X SB-1...	
684981	     663700	None	3000001427018 	None	Grand-X (15.6) SB-149 Purple            	  670.0	['684981.jpg'] 	None   	None  	1        	Сумка для ноутбука 15.6" Grand-X SB-1...	
684983	     663700	None	3000001425014 	None	Grand-X (15.6) SB-149J Blue             	  670.0	['684983.jpg'] 	None   	None  	1        	Сумка для ноутбука 15.6" Grand-X SB-1...	
684422	     663700	None	None          	None	Grand-X SLX-15D Dark Grey сумка-чохол   	  550.0	['684422.jpg'] 	None   	None  	2        	Сумка-чохол для ноутбука 15" Grand-X ...	
683246	     663700	None	None          	None	HP Generation Mobile сумка для ноутбука 	  300.0	['683246.jpg'] 	None   	None  	3        	Стильна сумка для ноутбука HP Generat...	
684986	     663700	None	4260403570883 	None	RivaCase 8035 Black                     	  630.0	['684986.jpg'] 	None   	None  	1        	Сумка для ноутбука 15.6" Сумка для но...	
684980	     663700	None	4260403570401 	None	RivaCase 8035 Blue                      	  600.0	['684980.jpg'] 	None   	None  	1        	Сумка для ноутбука 15.6" RivaCase 803...	
684979	     663700	None	4260403572962 	None	RivaCase 8037 Black                     	  500.0	['684979.jpg'] 	None   	None  	1        	Сумка для ноутбука 15.6" RivaCase 803...	
684802	     663700	None	751530328217  	None	SUMDEX PON-328 Black                    	  670.0	['684802.jpg'] 	None   	None  	1        	Сумка для ноутбука 15.6" SUMDEX PON-3...	
637234	     663700	None	751530301210  	None	Sumdex  SUMDEX PON-301 Black/Gray       	  630.0	['637234.jpg'] 	None   	None  	2        	Сумка для ноутбука 15.6" SUMDEX PON-3...	
663749	     663700	None	None          	None	Trust  16" OXFORD 16" Notebook Bag      	 1150.0	['663749.jpg'] 	None   	None  	1        	None                                    	
663747	     663700	None	None          	None	Сумка 15,6"                             	  200.0	['663747.jpg'] 	None   	None  	1        	None                                    	
675147	     671000	None	085854233262  	None	CASE LOGIC  WMBP-115 Legion 15,6" рюкзак	 1150.0	['675147.jpg'] 	None   	None  	1        	None                                    	
675148	     671000	None	085854237079  	None	CASE LOGIC  WMBP-115 Racing Red 15,6"...	 1150.0	['675148.jpg'] 	None   	None  	1        	None                                    	
683225	     671000	None	None          	None	Continent BP-001 Black                  	  850.0	['683225.jpg'] 	None   	None  	1        	None                                    	
681198	     671000	None	4714033260664 	None	Defender  (26066) Everest 15.6" black   	  400.0	['681198.jpg'] 	None   	None  	2        	None                                    	
678220	     671000	None	5413507337558 	None	HYOU  Code HYCL05 (Black)               	  400.0	['678220.jpg'] 	None   	None  	6        	Рюкзак для ноутбука HYou Code 16 "- в...	
673697	     671000	None	None          	None	Trust  Light Backpack Notebook Bag      	  600.0	['673697.jpg'] 	None   	None  	2        	None                                    	
683312	     671000	None	7613329050101 	None	Wenger Mars Black/Blue (604428)         	 1150.0	['683312.jpg'] 	None   	None  	1        	Рюкзак для ноутбука Wenger Mars Black...	
683449	     671000	None	None          	None	Рюкзак ABC-20 gray SKY                  	  300.0	['683449.jpg'] 	None   	None  	1        	Стильні рюкзаки з відділенням для ноу...	
683448	     671000	None	None          	None	Рюкзак ABC-20 синій SKY                 	  300.0	['683448.jpg'] 	None   	None  	1        	Стильні рюкзаки з відділенням для ноу...	
683447	     671000	None	None          	None	Рюкзак ABC-20 червоний SKY              	  300.0	['683447.jpg'] 	None   	None  	1        	Стильні рюкзаки з відділенням для ноу...	
683450	     671000	None	None          	None	Рюкзак ABC-20 чорний SKY                	  300.0	['683450.jpg'] 	None   	None  	2        	Стильні рюкзаки з відділенням для ноу...	
683446	     671000	None	None          	None	Рюкзак Fashion ABC-10                   	  300.0	['683446.jpg'] 	None   	None  	2        	Стильні рюкзаки з відділенням для ноу...	
681222	     671000	None	None          	None	Рюкзак для ноутбука нейлон сірий        	  350.0	['681222.png'] 	None   	None  	3        	Рюкзак для ноутбука 15.6", матеріал н...	
681221	     671000	None	None          	None	Рюкзак для ноутбука нейлон чорний       	  350.0	['681221.png'] 	None   	None  	2        	Рюкзак для ноутбука 15.6", матеріал н...	
677323	     617900	None	None          	None	AM/AM 0.6м USB 3.0                      	  150.0	['677323.jpg'] 	None   	None  	2        	None                                    	
680315	     617900	None	2120918054259 	None	AM/Micro 5 pin 0.3м  прозорий синій  ...	   40.0	['680315.jpg'] 	None   	None  	3        	None                                    	
683790	     617900	None	6953156285194 	None	Baseus  Cafule USB Type-C 3A, red (CA...	  130.0	['683790.jpg'] 	None   	None  	1        	Кабель Baseus Cafule USB Type-C 3A, r...	
683208	     617900	None	6953156278202 	None	Baseus (1м) Cafule CATKLF-BG1 Кабель ...	  150.0	['683208.jpg'] 	None   	None  	10       	Кабель Baseus Cafule Cable USB For Ty...	
682392	     617900	None	6953156280335 	None	Baseus (1м) Cafule Cable USB For Micr...	  120.0	['682392.jpg'] 	None   	None  	3        	Кабель Baseus Cafule Cable USB For Mi...	
682133	     617900	None	6953156269514 	None	Baseus (1м) MVP Elbow Type Cable USB ...	  120.0	['682133.jpg'] 	None   	None  	13       	Кабель Baseus MVP Elbow Type Cable US...	
682134	     617900	None	6953156294851 	None	Baseus (1м) Zinc Magnetic Cable USB F...	  150.0	['682134.jpg'] 	None   	None  	1        	Кабель Baseus Zinc Magnetic Cable USB...	
681122	     617900	None	6953156269545 	None	Baseus (2м) MVP Elbow Type Cable USB ...	  130.0	['681122.jpg'] 	None   	None  	3        	Кабель Baseus MVP Elbow Type Cable US...	
680663	     617900	None	4714033874755 	None	Defender  (87475) USB08-03P USB 2.0 A...	   40.0	['680663.jpg'] 	None   	None  	8        	IT Кабель DEFENDER (87475) USB08-03P ...	
681002	     617900	None	4714033874908 	None	Defender (1м) USB09-03 USB(AM)-C Type...	   80.0	['681002.jpg'] 	None   	None  	7        	IT Кабель DEFENDER (87490) USB09-03 U...	
681004	     617900	None	4714033874922 	None	Defender (1м) USB09-03PRO USB(AM)-C T...	  110.0	['681004.jpg'] 	None   	None  	12       	IT Кабель DEFENDER (87492) USB09-03PR...	
682859	     617900	None	6954851284451 	None	Remax (1м) Kerolla (RC-094m-black)      	  120.0	['682859.jpg'] 	None   	None  	4        	Кабель Micro USB 1.0 m Remax Kerolla ...	
679540	     617900	None	6954851261681 	None	Remax (1м) USB A to Micro USB B Flat ...	  130.0	['679540.jpg'] 	None   	None  	4        	None                                    	
677887	     617900	None	None          	None	USB A to Type-C USB (1м) Магнітний ка...	  380.0	['677887.jpg'] 	None   	None  	3        	None                                    	
681570	     617900	None	8716309095457 	None	USB OTG Cablexpert (A-USB3-CMAF-01) ч...	   70.0	['681570.jpg'] 	None   	None  	9        	Перехідник USB OTG Cablexpert (A-USB3...	
680324	     617900	None	None          	None	Магнітний кабель USB 2.0/Micro, 1m, 2...	  250.0	['680324.jpg'] 	None   	None  	3        	None                                    	
683526	     680478	None	None          	None	AM/BM 0,8м USB до принтерів, білий (5...	   50.0	['683526.jpg'] 	None   	None  	2        	None                                    	
617902	     680478	None	6942312602050 	None	AM/BM 3m USB (до принтерів)             	   60.0	['617902.jpg'] 	None   	None  	25       	None                                    	
617903	     680478	None	8716309019828 	None	AM/BM 4,5m USB (до принтерів)           	  100.0	['617903.jpg'] 	None   	None  	7        	None                                    	
683479	     680478	None	6942312602012 	None	Maxxtro (1.8м) (U-AMBM-6) чорний (USB...	   60.0	['683479.jpg'] 	None   	None  	18       	Кабель до принтера 1.8 m Maxxtro (U-A...	
684637	     680477	None	6942312602593 	None	(1.8м) Maxxter (U-AMAF-6) сірий         	   60.0	['684637.jpg'] 	None   	None  	1        	Подовжувач USB 1.8 m Maxxter (U-AMAF-...	
684638	     680477	None	8716309059220 	None	1.8 m Gembird (CCP-USB3-AMAF-6) сині    	  150.0	['684638.jpg'] 	None   	None  	8        	Подовжувач USB 1.8 m Gembird (CCP-USB...	
680020	     680477	None	2241221073697 	None	Активний подовжувач AM/AF (10м) USB 2...	  370.0	['680020.jpg'] 	None   	None  	2        	Активний подовжувач USB 2.0 AM / AF, ...	
681238	     680477	None	2241221081005 	None	Активний подовжувач AM/AF (15м) USB 2...	  500.0	['681238.jpg'] 	None   	None  	2        	None                                    	
681237	     680477	None	2170718073684 	None	Активний подовжувач AM/AF (5м) USB 2....	  280.0	['681237.jpg'] 	None   	None  	4        	None                                    	
682205	     680477	None	None          	None	Кабель подовжувач USB 3.0 AM+AM 0.6м    	  100.0	['682205.jpg'] 	None   	None  	3        	None                                    	
618329	     618300	None	None          	None	Стяжки для кабеля 2.5x200               	   25.0	['618329.jpg'] 	None   	None  	2        	None                                    	
