category_id	mpn                              	name                                                                  	available	price	
          1	Acer Veriton X6610G              	Acer Veriton X6610G/i5-650/4GB/500GB HDD/Windows 7 Pro                	        1	 18.0	
          1	Apple Mac Pro                    	Apple Mac Pro/E5462/16GB/500GB HDD/None                               	        1	 55.0	
          1	bluechip BUSINESSline Workstation	bluechip BUSINESSline Workstation/2 x Silver 4110/16GB/500GB HDD/None 	        1	420.0	
          1	bluechip BUSINESSline Workstation	bluechip BUSINESSline Workstation/2 x Silver 4110/16GB/500GB HDD/Wi...	        1	400.0	
          1	Custom PC                        	Custom PC/G3220/4GB/500GB HDD/None                                    	        1	 28.0	
          1	Custom PC                        	Custom PC/i7-3770/4GB/500GB HDD/None                                  	        1	 54.0	
          1	Custom PC                        	Custom PC/i7-4770S/4GB/500GB HDD/None                                 	        1	 76.0	
          1	Dell OptiPlex 3010               	Dell OptiPlex 3010/i3-2120/4GB/500GB HDD/None                         	        2	 16.0	
          1	Dell OptiPlex 3010               	Dell OptiPlex 3010/i3-3240/4GB/500GB HDD/None                         	        2	 23.0	
          1	Dell OptiPlex 3020               	Dell OptiPlex 3020/i3-4130/4GB/500GB HDD/None                         	        1	 34.0	
          1	Dell OptiPlex 3020               	Dell OptiPlex 3020/i3-4160/4GB/500GB HDD/Windows 8 Pro                	        1	 34.0	
          1	Dell OptiPlex 3020               	Dell OptiPlex 3020/i3-4160/4GB/500GB HDD/None                         	        3	 34.0	
          1	Dell OptiPlex 3050               	Dell OptiPlex 3050/i5-6500/8GB/256GB SSD/Windows 10 Pro               	        2	 96.0	
          1	Dell OptiPlex 3050               	Dell OptiPlex 3050/i5-6500/8GB/256GB SSD/Windows 8 Pro                	        1	 96.0	
          1	Dell OptiPlex 7010               	Dell OptiPlex 7010/i3-3220/4GB/500GB HDD/None                         	        1	 23.0	
          1	Dell OptiPlex 7010               	Dell OptiPlex 7010/i3-3240/4GB/500GB HDD/None                         	        1	 54.0	
          1	Dell OptiPlex 7010               	Dell OptiPlex 7010/i5-3570/4GB/500GB HDD/None                         	        1	 36.0	
          1	Dell OptiPlex 7010               	Dell OptiPlex 7010/i7-3770/4GB/500GB HDD/Windows 7 Pro                	        5	 54.0	
          1	Dell OptiPlex 7020               	Dell OptiPlex 7020/i5-4590/4GB/500GB HDD/Windows 7 Pro                	        2	 56.0	
          1	Dell OptiPlex 7040               	Dell OptiPlex 7040/i5-6600/8GB/256GB SSD/Windows 8 Pro                	        1	 96.0	
          1	Dell OptiPlex 7050               	Dell OptiPlex 7050/G4500/4GB/500GB HDD/Windows 10 Pro                 	        1	 52.0	
          1	Dell OptiPlex 7050               	Dell OptiPlex 7050/G4500/4GB/500GB HDD/Windows 10 Pro                 	        1	 52.0	
          1	Dell OptiPlex 7050               	Dell OptiPlex 7050/i5-6500/8GB/256GB SSD/Windows 10 Pro               	       18	 96.0	
          1	Dell OptiPlex 7050               	Dell OptiPlex 7050/i5-6600/8GB/256GB SSD/Windows 8 Pro                	        1	 96.0	
          1	Dell OptiPlex 7050               	Dell OptiPlex 7050/i5-7500/8GB/256GB SSD/Windows 8 Pro                	        1	128.0	
          1	Dell OptiPlex 7050               	Dell OptiPlex 7050/i5-7500/8GB/256GB SSD/None                         	        1	128.0	
          1	Dell OptiPlex 7070               	Dell OptiPlex 7070/i5-9500T/8GB/256GB SSD/None                        	        1	215.0	
          1	Dell OptiPlex 790                	Dell OptiPlex 790/i5-2400/4GB/500GB HDD/Windows 7 Pro                 	        2	 22.0	
          1	Dell OptiPlex 790                	Dell OptiPlex 790/i7-2600/4GB/500GB HDD/Windows 7 Pro                 	        2	 32.0	
          1	Dell OptiPlex XE2                	Dell OptiPlex XE2/i3-4330/4GB/500GB HDD/Windows 7 Pro                 	        5	 34.0	
          1	Dell Precision 3630              	Dell Precision 3630/E-2124/16GB/500GB HDD/Windows 10 Pro              	        1	260.0	
          1	Dell Precision T1650             	Dell Precision T1650/i7-3770/4GB/500GB HDD/None                       	        1	 54.0	
          1	Dell Precision T1700             	Dell Precision T1700/E3-1246 v3/16GB/500GB HDD/Windows 10 Pro         	        1	 90.0	
          1	Dell Precision T1700             	Dell Precision T1700/E3-1270/16GB/500GB HDD/Windows 8 Pro             	        1	 58.0	
          1	Dell Precision T1700             	Dell Precision T1700/E3-1270/16GB/500GB HDD/None                      	        1	 58.0	
          1	Dell Precision T1700             	Dell Precision T1700/E3-1270 v3/16GB/500GB HDD/None                   	        1	 90.0	
          1	Dell Precision T1700             	Dell Precision T1700/E3-1271 v3/16GB/500GB HDD/Windows 7 Pro          	        1	 90.0	
          1	Dell Precision T3420             	Dell Precision T3420/i5-6500/8GB/256GB SSD/Windows 7 Pro              	        1	 96.0	
          1	Dell Precision T3600             	Dell Precision T3600/E5-1603/16GB/500GB HDD/Windows 7 Pro             	        1	 70.0	
          1	Dell Precision T3600             	Dell Precision T3600/E5-1603/16GB/500GB HDD/Windows 7 Pro             	        3	 70.0	
          1	Dell Precision T3600             	Dell Precision T3600/E5-1620/16GB/500GB HDD/Windows 7 Pro             	        8	 70.0	
          1	Dell Precision T3610             	Dell Precision T3610/E5-1620 v2/16GB/500GB HDD/None                   	        2	 85.0	
          1	Dell Precision T3620             	Dell Precision T3620/E3-1270 v5/16GB/500GB HDD/None                   	        1	 55.0	
          1	Dell Precision T5610             	Dell Precision T5610/E5-2637 v2/16GB/500GB HDD/Windows 8 Pro          	        1	125.0	
          1	Dell Precision T5810             	Dell Precision T5810/E5-1620 v3/16GB/500GB HDD/Windows 8 Pro          	        2	 98.0	
          1	Dell Precision T5810             	Dell Precision T5810/E5-1660 v3/16GB/500GB HDD/Windows 8 Pro          	        1	 98.0	
          1	Dell Precision T5810             	Dell Precision T5810/E5-2630 v4/16GB/500GB HDD/Windows 7 Pro          	        1	180.0	
          1	Dell Precision T5810             	Dell Precision T5810/E5-2630 v4/16GB/500GB HDD/Windows 8 Pro          	        1	180.0	
          1	Dell Precision T7610             	Dell Precision T7610/E5-2620 v2/16GB/500GB HDD/None                   	        2	125.0	
          1	Dell Vostro 3900                 	Dell Vostro 3900/G3260/4GB/500GB HDD/None                             	        1	 28.0	
          1	Fujitsu Esprimo P910             	Fujitsu Esprimo P910/i7-3770/4GB/500GB HDD/Windows 7 Pro              	        2	 54.0	
          1	Fujitsu Esprimo Q520             	Fujitsu Esprimo Q520/i3-4160T/4GB/500GB HDD/None                      	        1	 34.0	
          1	Fujitsu Primergy TX1310 M1       	Fujitsu Primergy TX1310 M1/E3-1226 v3/16GB/500GB HDD/None             	        2	 90.0	
          1	Giada i59u                       	Giada i59u/i3-6100U/8GB/256GB SSD/Windows 7 Pro                       	        4	 64.0	
          1	HP Compaq Elite 8200             	HP Compaq Elite 8200/i5-2400/4GB/500GB HDD/Windows 7 Pro              	        2	 22.0	
          1	HP Compaq Pro 4300               	HP Compaq Pro 4300/i3-3220/4GB/500GB HDD/Windows 7 Pro                	        1	 23.0	
          1	HP EliteDesk 705 G3              	HP EliteDesk 705 G3/A10-8770 R7/4GB/500GB HDD/None                    	        5	 68.0	
          1	HP EliteDesk 705 G3              	HP EliteDesk 705 G3/A8-9600 R7/4GB/500GB HDD/Windows 10 Pro           	       10	 62.0	
          1	HP EliteDesk 800 G1              	HP EliteDesk 800 G1/i5-4570/4GB/500GB HDD/Windows 7 Pro               	        2	 56.0	
          1	HP EliteDesk 800 G1              	HP EliteDesk 800 G1/i5-4590/4GB/500GB HDD/Windows 7 Pro               	        1	 56.0	
          1	HP EliteDesk 800 G3              	HP EliteDesk 800 G3/i5-6500/8GB/256GB SSD/Windows 10 Pro              	        1	 96.0	
          1	HP EliteDesk 800 G3              	HP EliteDesk 800 G3/i5-6500T/8GB/256GB SSD/None                       	        2	 96.0	
          1	HP ProDesk 600 G1                	HP ProDesk 600 G1/i5-4590/4GB/500GB HDD/Windows 8 Pro                 	        1	 56.0	
          1	HP Proliant ML310e Gen8 v2       	HP Proliant ML310e Gen8 v2/E3-1220 v3/16GB/500GB HDD/None             	        1	 90.0	
          1	HP RP5 Retail System Model 5810  	HP RP5 Retail System Model 5810/i5-4570S/4GB/500GB HDD/None           	        1	 56.0	
          1	HP Z220 Workstation              	HP Z220 Workstation/E3-1225 v2/16GB/500GB HDD/Windows 7 Pro           	        1	 70.0	
          1	HP Z230                          	HP Z230/E3-1270/16GB/500GB HDD/None                                   	        2	 58.0	
          1	HP Z230                          	HP Z230/E3-1271 v3/16GB/500GB HDD/None                                	        1	 58.0	
          1	HP Z230 Workstation              	HP Z230 Workstation/E3-1270/16GB/500GB HDD/Windows 7 Pro              	        3	 58.0	
          1	HP Z230 Workstation              	HP Z230 Workstation/E3-1270 v3/16GB/500GB HDD/None                    	        1	 90.0	
          1	HP Z230 Workstation              	HP Z230 Workstation/E3-1270 v3/16GB/500GB HDD/Windows 7 Pro           	        1	 90.0	
          1	HP Z230 Workstation              	HP Z230 Workstation/E3-1271 v3/16GB/500GB HDD/Windows 7 Pro           	        1	 58.0	
          1	HP Z230 Workstation              	HP Z230 Workstation/E3-1271 v3/16GB/500GB HDD/None                    	        3	 90.0	
          1	HP Z230 Workstation              	HP Z230 Workstation/i5-4570/4GB/500GB HDD/None                        	        1	 56.0	
          1	HP Z230 Workstation              	HP Z230 Workstation/i5-4570/4GB/500GB HDD/None                        	        5	 56.0	
          1	HP Z230 Workstation              	HP Z230 Workstation/i7-4770/4GB/500GB HDD/Windows 7 Pro               	        2	 76.0	
          1	HP Z230 Workstation              	HP Z230 Workstation/i7-4770/4GB/500GB HDD/Windows 8 Pro               	        1	 76.0	
          1	HP Z230 Workstation              	HP Z230 Workstation/i7-4790/4GB/500GB HDD/Windows 7 Pro               	        1	 76.0	
          1	HP Z230 Workstation              	HP Z230 Workstation/i7-4790/4GB/500GB HDD/Windows 8 Pro               	        3	 76.0	
          1	HP Z240 Workstation              	HP Z240 Workstation/i7-6700/8GB/256GB SSD/Windows 8 Pro               	        1	 76.0	
          1	HP Z420 Workstation              	HP Z420 Workstation/E5-1680 v2/16GB/500GB HDD/None                    	        1	 85.0	
          1	HP Z440                          	HP Z440/E5-1620 v3/16GB/500GB HDD/Windows 7 Pro                       	        7	 90.0	
          1	HP Z620 Workstation              	HP Z620 Workstation/2 X E5-2667/16GB/500GB HDD/Windows 7 Pro          	        1	180.0	
          1	HP Z620 Workstation              	HP Z620 Workstation/E5-2620 v2/16GB/500GB HDD/Windows 7 Pro           	        1	125.0	
          1	HP Z620 Workstation              	HP Z620 Workstation/E5-2620 v2/16GB/500GB HDD/Windows 8 Pro           	        2	125.0	
          1	HP Z820 Workstation              	HP Z820 Workstation/2 x E5-2643 v2/16GB/500GB HDD/None                	       10	200.0	
          1	HP Z820 Workstation              	HP Z820 Workstation/2 x E5-2643 v2/16GB/500GB HDD/Windows 7 Pro       	        1	200.0	
          1	HP Z820 Workstation              	HP Z820 Workstation/2 x E5-2665/16GB/500GB HDD/None                   	        1	180.0	
          1	Intel NUC8i7BEH                  	Intel NUC8i7BEH/i7-8559U/8GB/256GB SSD/None                           	        2	245.0	
          1	Lenovo ThinkCentre E73           	Lenovo ThinkCentre E73/G3220/4GB/500GB HDD/None                       	        2	 28.0	
          1	Lenovo ThinkCentre M710q         	Lenovo ThinkCentre M710q/i5-6500T/8GB/256GB SSD/Windows 10 Pro        	        3	 96.0	
          1	Lenovo Thinkcentre M710s         	Lenovo Thinkcentre M710s/G4400/4GB/500GB HDD/None                     	        5	 38.0	
          1	Lenovo ThinkCentre M710s         	Lenovo ThinkCentre M710s/G4560/4GB/500GB HDD/Windows 10 Pro           	       10	 38.0	
          1	Lenovo ThinkCentre M800          	Lenovo ThinkCentre M800/G4500/4GB/500GB HDD/Windows 8 Pro             	       26	 38.0	
          1	Lenovo ThinkCentre M800          	Lenovo ThinkCentre M800/i5-6500/8GB/256GB SSD/Windows 8 Pro           	        2	 96.0	
          1	Lenovo ThinkCentre M82           	Lenovo ThinkCentre M82/G2120/4GB/500GB HDD/Windows 7 Pro              	        1	 18.0	
          1	Lenovo ThinkCentre M82           	Lenovo ThinkCentre M82/i5-3550/4GB/500GB HDD/Windows 7 Pro            	        1	 36.0	
          1	Lenovo ThinkCentre M83           	Lenovo ThinkCentre M83/i5-4590T/4GB/500GB HDD/Windows 8               	        1	 56.0	
          1	Lenovo ThinkCentre M83           	Lenovo ThinkCentre M83/i5-4670/4GB/500GB HDD/Windows 8 Pro            	        1	 56.0	
          1	Lenovo ThinkCentre M900          	Lenovo ThinkCentre M900/G4500T/4GB/500GB HDD/Windows 8 Pro            	        4	 38.0	
          1	Lenovo ThinkCentre M910q         	Lenovo ThinkCentre M910q/G4600T/4GB/500GB HDD/Windows 10 Pro          	        1	 38.0	
          1	Lenovo ThinkCentre M92p          	Lenovo ThinkCentre M92p/i5-3470/4GB/500GB HDD/Windows 7 Pro           	        1	 36.0	
