   id	category_id	code	barcode	mpn                 	name                                    	    price	image                                   	feature                                 	vendor          	available	descr	
15585	       1141	None	None   	CP-8851-3PCC-K9     	CP-8851-3PCC-K9                         	    934.8	['https://sklep.comel-it.com/data/gfx...	{'Цей продукт відновлений': 'так'}      	CISCO           	        1	None 	
15583	       1759	None	None   	009228              	Microsoft Office 365 Family PL          	    400.0	['https://sklep.comel-it.com/data/gfx...	{'Цей продукт є новим': 'так'}          	MICROSOFT       	        1	None 	
15582	       1759	None	None   	009230              	Office 2021 Home і Student              	    699.0	['https://sklep.comel-it.com/data/gfx...	{'Цей продукт є новим': 'так'}          	MICROSOFT       	        1	None 	
15581	          2	None	None   	J4858C-NEW          	J4858C HP                               	   293.97	['https://sklep.comel-it.com/data/gfx...	{'Цей продукт є новим': 'так'}          	HPE             	        1	None 	
15580	          2	None	None   	J4859C-CML          	J4859C CML                              	    67.65	['https://sklep.comel-it.com/data/gfx...	{'Цей продукт є новим': 'так'}          	CML             	        1	None 	
15579	          2	None	None   	J4859C-NEW          	J4859C HP                               	   601.47	['https://sklep.comel-it.com/data/gfx...	{'Цей продукт є новим': 'так'}          	HPE             	        1	None 	
15577	       2321	None	None   	PC8100-10GSFP-R     	PC8100-10GSFP-R                         	  1130.37	['https://sklep.comel-it.com/data/gfx...	{'Цей продукт відновлений': 'так'}      	DELL            	        1	None 	
15576	          3	None	None   	RE-850-1536         	RE-850-1536                             	  1228.77	['https://sklep.comel-it.com/data/gfx...	{'Цей продукт відновлений': 'так'}      	JUNIPER         	        1	None 	
15575	         10	None	None   	STST-ADAPTER SIMPLEX	ST Fiber Optic Adaptor                  	    22.14	['https://sklep.comel-it.com/data/gfx...	{'Цей продукт є новим': 'так'}          	None            	        1	None 	
15574	          2	None	None   	J4859C-CML-RGD      	J4859C CML RGD                          	   101.48	['https://sklep.comel-it.com/data/gfx...	{'Цей продукт є новим': 'так'}          	CML             	        1	None 	
15573	          2	None	None   	XENPAK-10G-LW       	XENPAK-10G-LW                           	   613.77	['https://sklep.comel-it.com/data/gfx...	{'Цей продукт відновлений': 'так'}      	CISCO           	        1	None 	
15572	          2	None	None   	E7Y09A              	E7Y09A                                  	   318.57	['https://sklep.comel-it.com/data/gfx...	{'Цей продукт відновлений': 'так'}      	HPE             	        1	None 	
15571	       2291	None	None   	PHIHONG 2.5A        	БЛОК ЖИВЛЕННЯ 12V 2.5A 30W вилка 5.5/...	    12.29	['https://sklep.comel-it.com/data/gfx...	{'Цей продукт є новим': 'так'}          	None            	        1	None 	
15570	       2315	None	None   	700-27917-01        	Кріплення для Nexus 3000                	   158.67	['https://sklep.comel-it.com/data/gfx...	{'Цей продукт відновлений': 'так'}      	CISCO           	        1	None 	
15569	       2315	None	None   	N5K-C5020-FAN       	N5K-C5020-FAN Вентилятор Cisco Nexus ...	   441.57	['https://sklep.comel-it.com/data/gfx...	{'Цей продукт відновлений': 'так'}      	CISCO           	        1	None 	
15564	       2321	None	None   	19837               	Пам'ять RAM DDR4 16GB DELL              	  1191.01	['https://sklep.comel-it.com/data/gfx...	{'Цей продукт є новим': 'так'}          	DELL            	        1	None 	
15558	          3	None	None   	ACE30-MOD-K9        	ACE30-MOD-K9                            	  1573.17	['https://sklep.comel-it.com/data/gfx...	{'Цей продукт відновлений': 'так'}      	CISCO           	        1	None 	
15557	       2315	None	None   	PWR-MS320-250WAC    	PWR-MS320-250WAC Блок живлення Cisco ...	   859.77	['https://sklep.comel-it.com/data/gfx...	{'Цей продукт відновлений': 'так'}      	CISCO           	        1	None 	
15538	          2	None	None   	550-031761-02       	EX-SFP-10GE-LR                          	   675.27	['https://sklep.comel-it.com/data/gfx...	{'Цей продукт відновлений': 'так'}      	JUNIPER         	        1	None 	
15537	       2291	None	None   	BLKR-SVB-NFR        	BLKR-SVB-NFR                            	   736.77	['https://sklep.comel-it.com/data/gfx...	{'Цей продукт є новим': 'так'}          	CISCO           	        1	None 	
15536	       2315	None	None   	JG225A              	JG225A                                  	  3381.27	['https://sklep.comel-it.com/data/gfx...	{'Цей продукт відновлений': 'так'}      	HPE             	        1	None 	
15535	       1763	None	None   	SC405               	SC405 ZKTeco                            	   1291.5	['https://sklep.comel-it.com/data/gfx...	{'Цей продукт є новим': 'так'}          	None            	        1	None 	
15534	       2291	None	None   	EDPS-645AB          	EDPS-645AB                              	   712.17	['https://sklep.comel-it.com/data/gfx...	{'Цей продукт відновлений': 'так'}      	JUNIPER         	        1	None 	
15531	          2	None	None   	CVR-QSFP-SFP10G OEM 	CVR-QSFP-SFP10G OEM                     	  1806.87	['https://sklep.comel-it.com/data/gfx...	{'Цей продукт відновлений': 'так'}      	None            	        1	None 	
15530	       2315	None	None   	N55-PDC-1100W       	N55-PDC-1100W Блок живлення Cisco Nex...	  2200.47	['https://sklep.comel-it.com/data/gfx...	{'Цей продукт відновлений': 'так'}      	CISCO           	        1	None 	
15529	       2315	None	None   	J4904A              	J4904A                                  	   330.87	['https://sklep.comel-it.com/data/gfx...	{'Цей продукт відновлений': 'так'}      	HPE             	        1	None 	
15528	       2079	None	None   	VG310               	VG310                                   	 21068.67	['https://sklep.comel-it.com/data/gfx...	{'Цей продукт відновлений': 'так'}      	CISCO           	        1	None 	
15527	          3	None	None   	PWR-1860-220W       	PWR-1860-220W                           	   785.97	['https://sklep.comel-it.com/data/gfx...	{'Цей продукт відновлений': 'так'}      	CISCO           	        1	None 	
15526	       2315	None	None   	73-11956-08         	C3850-PWR-STACK Модуль Cisco StackPower 	   490.77	['https://sklep.comel-it.com/data/gfx...	{'Цей продукт відновлений': 'так'}      	CISCO           	        1	None 	
15525	          6	None	None   	ANT-4G-DP-IN-TNC NEW	ANT-4G-DP-IN-TNC                        	   244.77	['https://sklep.comel-it.com/data/gfx...	{'Відновлений': '7211', 'Цей продукт ...	CISCO           	        1	None 	
15524	       2315	None	None   	EX-PWR3-930-AC      	EX-PWR3-930-AC                          	   564.57	['https://sklep.comel-it.com/data/gfx...	{'Цей продукт відновлений': 'так'}      	JUNIPER         	        1	None 	
15523	       2321	None	None   	D33682              	INTEL PRO/1000 PT SERVER ADAPTER        	   121.77	['https://sklep.comel-it.com/data/gfx...	{'Цей продукт відновлений': 'так'}      	INTEL           	        1	None 	
15522	          3	None	None   	JXE-4FE-TX-S        	JXE-4FE-TX-S                            	   281.67	['https://sklep.comel-it.com/data/gfx...	{'Цей продукт відновлений': 'так'}      	JUNIPER         	        1	None 	
15521	          3	None	None   	PWR-2911-AC         	PWR-2911-AC                             	   355.47	['https://sklep.comel-it.com/data/gfx...	{'Цей продукт відновлений': 'так'}      	CISCO           	        1	None 	
15520	          2	None	None   	S+RJ10              	S+RJ10                                  	   269.37	['https://sklep.comel-it.com/data/gfx...	{'Цей продукт є новим': 'так'}          	None            	        1	None 	
15519	          2	None	None   	SFP-WDM-1310-20 OPTE	SFP-WDM-1310-20KM OPTEC                 	    60.27	['https://sklep.comel-it.com/data/gfx...	{'Цей продукт відновлений': 'так'}      	CISCO           	        1	None 	
15517	          2	None	None   	WS-G5484-SO         	WS-G5484 SOLID-OPTICS                   	    35.67	['https://sklep.comel-it.com/data/gfx...	{'Цей продукт відновлений': 'так'}      	None            	        1	None 	
15516	       2321	None	None   	PAMIĘĆ 16GB RDIMM DD	Пам'ять 16GB RDIMM DDR4 2933МГц         	   220.17	['https://sklep.comel-it.com/data/gfx...	{'Цей продукт відновлений': 'так'}      	None            	        1	None 	
15515	          3	None	None   	C891FW-E-K9 NEW     	C891FW-E-K9                             	  7747.77	['https://sklep.comel-it.com/data/gfx...	{'Цей продукт є новим': 'так'}          	CISCO           	        1	None 	
15514	          3	None	None   	IR829-PWR125W-AC    	IR829-PWR125W-AC БЛОК ЖИВЛЕННЯ          	   121.77	['https://sklep.comel-it.com/data/gfx...	{'Цей продукт відновлений': 'так'}      	FSP             	        1	None 	
15513	          2	None	None   	JD092B              	JD092B                                  	    84.87	[]                                      	{'Виробник': 'CML', 'Довжина хвилі пе...	CML             	        1	None 	
15512	       1140	None	None   	06190001            	IdeaHub OPS I5                          	  3917.55	['https://sklep.comel-it.com/data/gfx...	{'Цей продукт є новим': 'так'}          	HUAWEI          	        1	None 	
15511	          2	None	None   	JD094B              	JD094B                                  	   170.97	['https://sklep.comel-it.com/data/gfx...	{'Виробник': 'CML', 'Довжина хвилі пе...	CML             	        1	None 	
15510	         10	None	None   	FCAPC-FC-SM-05M-SX  	FCAPC-FC-SM-5M SX                       	    23.67	['https://sklep.comel-it.com/data/gfx...	{"Вид з'єднання": 'FC-FC', 'Вид патч-...	CML             	        1	None 	
15508	         10	None	None   	LCFC-MM-02M-SX      	LCFC-MM-2M SX                           	     15.6	['https://sklep.comel-it.com/data/gfx...	{"Вид з'єднання": 'LC-FC', 'Вид патч-...	CML             	        1	None 	
15507	         10	None	None   	LCFC-MM-03M-SX      	LCFC-MM-3M SX                           	    16.41	['https://sklep.comel-it.com/data/gfx...	{"Вид з'єднання": 'LC-FC', 'Вид патч-...	CML             	        1	None 	
15506	         10	None	None   	LCSC-MM-OM2-01M-SX  	LCSC-MM-OM2-1M SX                       	    13.53	['https://sklep.comel-it.com/data/gfx...	{"Вид з'єднання": 'LC-SC', 'Вид патч-...	CML             	        1	None 	
15505	         10	None	None   	LCSC-MM-OM2-03M-SX  	LCSC-MM-OM2-3M SX                       	    15.18	['https://sklep.comel-it.com/data/gfx...	{"Вид з'єднання": 'LC-SC', 'Вид патч-...	CML             	        1	None 	
15504	         10	None	None   	LCSC-SM-01M-SX      	LCSC-SM-1M SX                           	    16.73	['https://sklep.comel-it.com/data/gfx...	{"Вид з'єднання": 'LC-SC', 'Вид патч-...	CML             	        1	None 	
15503	         10	None	None   	LCSC-SM-02M-SX      	LCSC-SM-2M SX                           	    17.53	['https://sklep.comel-it.com/data/gfx...	{"Вид з'єднання": 'LC-SC', 'Вид патч-...	CML             	        1	None 	
